"Spectrum","Time","AIC"
780,497.99500128,66339.82955240262
781,498.09499488,61846.6674694743
782,498.19498848,57658.20804076791
783,498.29498208,53756.36168358125
784,498.39497568,50123.76450402394
785,498.49496928,46743.79575428412
786,498.59496288,43493.01215233557
787,498.69495648,40365.39485673717
788,498.79495008,37354.93739354799
789,498.89494368,34455.69249141509
790,498.99493728,31614.20525325776
791,499.09493088,28825.53466622125
792,499.1949244800001,26072.74811505509
793,499.29491808,23351.80893196293
794,499.39491168,20658.82615835658
795,499.49490528,17990.0674728257
796,499.59489888,15341.96837841765
797,499.69489248,12926.28700854864
798,499.79488608,10721.61743728108
799,499.89487968,8708.206703363034
800,499.99487328,6867.842197416545
801,500.09486688,5278.956080572379
802,500.19486048,3924.545060660933
803,500.2948540800001,2815.624382487634
804,500.39484768,1937.150486958894
805,500.49484128,1275.368328248074
806,500.59483488,817.7370407109607
807,500.69482848,552.858262403707
808,500.79482208,362.8322993805473
809,500.89481568,247.4353999364382
810,500.99480928,206.645446750901
811,501.09480288,240.6327539523928
812,501.19479648,302.1426886383808
813,501.29479008,392.4710643991281
814,501.39478368,495.9428536963408
815,501.49477728,613.266746840268
816,501.5947708800001,751.5572130430661
817,501.69476448,915.9292813117838
818,501.79475808,1108.822958270836
819,501.89475168,1332.805231792971
820,501.99474528,1590.541479855661
821,502.09473888,1884.751740767051
822,502.19473248,2218.161258111849
823,502.29472608,2593.459319237923
824,502.39471968,3013.280433493738
825,502.49471328,3482.704736819623
826,502.59470688,4005.055546450279
827,502.6947004800001,4570.671020077251
828,502.79469408,5173.771508875413
829,502.89468768,5813.902429425534
830,502.99468128,6490.455400501626
831,503.09467488,7202.88351149577
832,503.19466848,7950.979769220853
833,503.29466208,8735.199176458571
834,503.39465568,9556.99317944935
835,503.49464928,10419.11942348829
836,503.59464288,11325.87705764971
837,503.69463648,12283.28006293353
838,503.79463008,13305.74195688819
839,503.89462368,14407.57266587235
840,503.99461728,15601.93670312245
841,504.09461088,16902.9477818869
842,504.19460448,18324.5345124818
843,504.29459808,19878.85632588314
844,504.39459168,21574.18504926336
845,504.49458528,23411.94090851382
846,504.59457888,25382.4171270295
847,504.69457248,27459.70945386408
848,504.79456608,29598.65738711995
849,504.89455968,31736.97916105314
850,504.99455328,33801.60306964333
851,505.0945468800001,35715.11918860717
852,505.19454048,37400.27476983909
853,505.29453408,38782.96881370142
854,505.39452768,39794.83791084345
855,505.49452128,40376.34007456931
856,505.59451488,40481.34815503524
857,505.69450848,40084.38028757102
858,505.79450208,39189.58846275197
859,505.89449568,37835.84339292955
860,505.99448928,36091.64743267835
861,506.09448288,34042.21644215265
862,506.19447648,31777.04802957242
863,506.29447008,29382.34849632147
864,506.39446368,26937.57794274885
865,506.49445728,24514.03741520956
866,506.59445088,22173.96986769164
867,506.69444448,19969.14051068774
868,506.79443808,17938.11502945789
869,506.89443168,16102.58625374344
870,506.99442528,14465.56893203831
