Name,R.T. (min),Similarity,Formula,Area,Peak S/N,Base Mass
Hexadecanal,16.016,792,C16H32O,220156,34,57.11
"Hexasiloxane, tetradecamethyl-",16.1434,693,C14H42O5Si6,1039741,158,73.08
"Cyclohexanol, 2-methyl-, acetate, cis-",16.1799,722,C9H16O2,120049,18,81.11
4-Vinylbenzoic acid,16.3084,764,C9H8O2,73434,30,148.10
2-Imidazolidinone,16.3383,719,C3H6N2O,63106,16,86.07
Trifluoromethyldifluorophosphine,16.3433,767,CF5P,493447,51,69.07
"3,5-Diamino-1,2,4-triazole",16.3493,714,C2H5N5,78204,37,99.01
Peak 203,16.4721,,,39222,19,173.13
"Cyclopentaneacetic acid, 3-oxo-2-pentyl-, methyl ester",16.4925,630,C13H22O3,255561,58,83.08
Peak 205,16.5285,,,168018,44,147.12
"1,2,5-Trimethylpyrrole",16.5531,782,C7H11N,323058,102,108.09
Peak 207,16.586,,,9973,13,177.25
"Cyclohexane, ethenyl-",16.6694,736,C8H14,200745,15,67.09
"Nonane, 2,8-dimethyl-4-methylene-",16.754,676,C12H24,138629,21,83.12
Peak 210,16.7658,,,28519,14,197.18
Peak 211,16.8339,,,93434,24,137.09
"Cyclohexene, 1,5,5-trimethyl-6-(2-propenylidene)-",16.8408,617,C12H18,324266,39,45.07
Peak 213,16.8534,,,56855,13,120.05
"2,3-Dihydro-1,3-dimethyl(1H)cyclopenta[b]quinoxaline",16.8683,694,C13H14N2,81660,32,183.17
2-Heptanone,16.9816,719,C7H14O,378413,87,58.08
Peak 216,17.0028,,,146327,21,67.09
"Dodecane, 2,6,10-trimethyl-",17.0274,764,C15H32,583941,36,57.11
Peak 218,17.066,,,211640,57,192.12
Pentadecanal-,17.1803,924,C15H30O,920794,151,57.10
"2-Cyclohexen-1-one, 4-(3-hydroxybutyl)-3,5,5-trimethyl-",17.2306,608,C13H22O2,98813,29,95.09
2-Benzylidene-coumaran-3-one,17.2727,764,C15H10O2,35716,27,221.18
"Cyclopropane, 1-methyl-2-(3-methylpentyl)-",17.296,688,C10H20,120182,15,56.10
4-(2-Acetoxyethyl)phenyl acetate,17.3553,794,C12H14O4,370916,82,120.09
"4-Methyl-2,4'-bithiazol-2'-amine",17.366,603,C7H7N3S2,74601,23,197.18
Peak 225,17.4252,,,62900,32,197.18
"Adipic acid, butyl 3-hexyl ester",17.6949,663,C16H30O4,156051,25,111.08
n-Decanoic acid,17.7414,640,C10H20O2,521647,149,60.06
"3,5-di-tert-Butyl-4-hydroxybenzaldehyde",17.7716,602,C15H22O2,81800,47,219.20
Guanidine,17.8066,653,CH5N3,144138,25,59.09
"Heptasiloxane, hexadecamethyl-",17.8351,710,C16H48O6Si7,941762,116,73.08
"Thiazolo[5,4-f]quinoline, 9-methyl-",17.9228,617,C11H8N2S,458944,42,71.12
"Ethaneperoxoic acid, 1-cyano-1-phenylpentyl ester",17.933,607,C14H17NO3,160953,29,105.06
13-Tetradece-11-yn-1-ol,17.9777,767,C14H24O,344295,45,67.09
"a-D-Glucopyranoside, methyl 2,3,4,6-tetra-O-methyl-",17.999,643,C11H22O6,102980,23,88.08
Peak 235,18.0468,,,228424,17,79.12
10-Undecenal,18.0507,798,C11H20O,568537,43,55.10
"Sulfurous acid, 2-ethylhexyl hexyl ester",18.0799,735,C14H30O3S,279148,23,57.11
2-Butyl methylphosphonofluoridate,18.0926,624,C5H12FO2P,24627,10,99.02
"Furan, 2-(dichloromethyl)-tetrahydro-",18.1522,673,C5H8Cl2O,115697,16,71.12
Peak 240,18.1793,,,12143,15,54.09
"Salicylic acid, tert.-butyl ester",18.2148,719,C11H14O3,40092,11,120.04
Phenanthrene,18.2266,769,C14H10,127756,38,178.13
"2-Cyclohexen-1-one, 4-hydroxy-3,5,6-trimethyl-4-(3-oxo-1-butenyl)-",18.2489,790,C13H18O3,718636,277,124.09
Peak 244,18.2681,,,35131,25,57.16
Peak 245,18.272,,,27112,12,248.36
Pentadecanal-,18.2757,808,C15H30O,314163,43,57.11
"Benzene, 1,1'-[1,2-ethanediylbis(oxy)]bis-",18.2863,737,C14H14O2,400570,47,77.07
Peak 248,18.295,,,373117,83,166.15
Peak 249,18.3125,,,848941,237,124.09
"1,3-Dioxolane, 4-[[(2-methoxy-4-octadecenyl)oxy]methyl]-2,2-dimethyl-",18.3844,636,C25H48O4,75117,20,71.12
Peak 251,18.406,,,39799,12,57.11
Neophytadiene,18.4499,906,C20H38,597594,130,68.10
Peak 253,18.5002,,,155422,58,143.13
"2-Pentadecanone, 6,10,14-trimethyl-",18.5054,774,C18H36O,574179,109,58.08
Peak 255,18.5376,,,30445,11,223.19
Peak 256,18.6472,,,76804,14,70.08
"1,2-Benzenedicarboxylic acid, bis(2-methylpropyl) ester",18.725,897,C16H22O4,4519716,1104,149.06
Hexanoic acid,18.7297,621,C6H12O2,305353,44,60.06
"Heptane, 2,2,3,3,5,6,6-heptamethyl-",18.767,711,C14H30,440937,54,57.11
"3,7,11,15-Tetramethyl-2-hexadecen-1-ol",18.8425,832,C20H40O,534776,59,82.11
"Cyclooctane, methyl-",18.8803,831,C9H18,536946,21,55.10
Peak 262,18.8892,,,333384,31,71.13
1-Undecyne,18.9547,719,C11H20,310317,40,67.09
Peak 264,18.9592,,,152445,30,88.08
10-Undecenal,19.009,846,C11H20O,429669,36,55.10
"Decane, 2,5,9-trimethyl-",19.0242,737,C13H28,266207,15,57.10
2-Pentadecanone,19.0469,653,C15H30O,564954,97,58.09
"Phthalic acid, 6-ethyl-3-octyl butyl ester",19.1394,823,C22H34O4,275351,61,149.06
"(E,E)-7,11,15-Trimethyl-3-methylene-hexadeca-1,6,10,14-tetraene",19.1462,862,C20H32,1552315,139,69.11
"7,9-Di-tert-butyl-1-oxaspiro(4,5)deca-6,9-diene-2,8-dione",19.1704,744,C17H24O3,824554,68,57.11
"Sulfurous acid, butyl heptadecyl ester",19.2,793,C21H44O3S,2242508,97,57.11
"Heptasiloxane, hexadecamethyl-",19.2038,643,C16H48O6Si7,765590,85,73.08
"Hexadecanoic acid, methyl ester",19.2278,791,C17H34O2,971088,175,74.07
"Undecane, 3,8-dimethyl-",19.3207,748,C13H28,3105315,77,57.11
1H-Tetrazol-5-amine,19.3633,829,CH3N5,562352,18,57.11
Peak 276,19.3795,,,1807276,31,57.11
"Pentanoic acid, 10-undecenyl ester",19.4242,763,C16H30O2,1252417,64,55.10
Peak 278,19.4737,,,15693760,406,57.11
