"Spectrum","Time","TIC"
469,466.89699168,1989554.979861889
470,466.99698528,1990859.615718919
471,467.09697888,1994287.33280905
472,467.19697248,1999666.521017455
473,467.29696608,2006784.888725474
474,467.39695968,2015153.733253945
475,467.49695328,2023827.240342494
476,467.59694688,2031544.222661054
477,467.69694048,2037023.969087913
478,467.79693408,2039561.4840286
479,467.89692768,2039425.892854021
480,467.99692128,2037412.35039483
481,468.09691488,2034245.778606267
482,468.19690848,2030800.009544157
483,468.29690208,2028212.856347637
484,468.39689568,2028581.743867594
485,468.49688928,2034694.656860612
486,468.59688288,2049353.504909564
487,468.69687648,2074152.906566226
488,468.79687008,2108664.678323701
489,468.89686368,2150842.776006904
490,468.99685728,2198816.065183708
491,469.09685088,2251099.547284804
492,469.19684448,2306741.311262569
493,469.29683808,2364544.928259263
494,469.39683168,2423145.51652845
495,469.49682528,2478837.223317747
496,469.59681888,2525675.879297213
497,469.69681248,2557671.914112521
498,469.79680608,2573056.568566591
499,469.89679968,2575927.328446756
500,469.99679328,2575240.823877512
501,470.09678688,2578887.153991124
502,470.19678048,2592132.083737554
503,470.29677408,2618266.641338198
504,470.39676768,2659917.785083992
505,470.49676128,2717714.224791084
506,470.59675488,2793727.118333228
507,470.69674848,2894738.261923683
508,470.79674208,3032073.694504216
509,470.89673568,3217979.897291962
510,470.99672928,3462510.926941943
511,471.09672288,3760827.82841091
512,471.19671648,4091700.469732642
513,471.29671008,4429534.781224861
514,471.39670368,4756824.058418796
515,471.49669728,5067441.814826369
516,471.59669088,5367842.655167127
517,471.69668448,5664207.569602965
518,471.79667808,5950722.446426567
519,471.89667168,6210615.013640684
520,471.99666528,6417281.34402028
521,472.09665888,6538992.785502698
522,472.19665248,6563626.474924953
523,472.29664608,6507931.337711108
524,472.39663968,6402076.99206784
525,472.49663328,6267841.508404397
526,472.59662688,6108771.841948349
527,472.69662048,5910533.302731776
528,472.79661408,5659419.757929238
529,472.89660768,5357452.005600992
530,472.99660128,5015991.923654622
531,473.09659488,4653379.922773079
532,473.19658848,4291616.218035507
533,473.29658208,3945220.915367908
534,473.39657568,3620834.775726775
535,473.49656928,3318500.650311671
536,473.59656288,3036338.304919113
537,473.69655648,2777315.358776041
538,473.79655008,2549209.197408951
539,473.89654368,2359319.987085847
540,473.99653728,2208009.053454088
541,474.09653088,2092785.228869795
542,474.19652448,2010178.151005619
543,474.29651808,1956629.882091819
544,474.39651168,1927909.84155182
545,474.49650528,1915653.50906836
546,474.59649888,1911023.959046394
547,474.69649248,1908926.526345371
548,474.79648608,1906986.632385407
549,474.89647968,1905147.629355808
550,474.99647328,1903306.324885302
551,475.09646688,1901406.412494841
552,475.19646048,1899562.277712357
553,475.29645408,1898049.734458213
554,475.39644768,1897093.087334132
555,475.49644128,1896781.549456376
556,475.59643488,1897056.442364177
557,475.69642848,1897840.162187186
558,475.79642208,1899049.969580924
559,475.89641568,1900540.738700688
560,475.99640928,1902169.434136532
561,476.09640288,1903926.325739247
562,476.19639648,1905894.592452958
563,476.29639008,1908089.559531161
564,476.39638368,1910358.355732454
565,476.49637728,1912507.981246205
566,476.59637088,1914388.016423551
567,476.69636448,1915933.525881594
568,476.79635808,1917108.81374755
569,476.89635168,1917906.517054807
570,476.99634528,1918434.068402558
571,477.09633888,1918829.693514331
572,477.19633248,1919140.230461949
573,477.29632608,1919357.648383526
574,477.39631968,1919520.438393572
575,477.49631328,1919787.467510994
576,477.59630688,1920364.671127018
